year,num,src
2015,1,Conan
2016,39,Conan
2017,82,Conan
2018,244,Conan
2019,367,Conan
2020,488,Conan
2021,503,Conan
2022,266,Conan
2001,127,Deb
2002,205,Deb
2003,272,Deb
2004,459,Deb
2005,1361,Deb
2006,1854,Deb
2007,1683,Deb
2008,2499,Deb
2009,3366,Deb
2010,3444,Deb
2011,4327,Deb
2012,4322,Deb
2013,4340,Deb
2014,5445,Deb
2015,5050,Deb
2016,6321,Deb
2017,5686,Deb
2018,5417,Deb
2019,7884,Deb
2020,8865,Deb
2021,5974,Deb
2022,6240,Deb
2008,25,Gitsubmodule
2009,74,Gitsubmodule
2010,282,Gitsubmodule
2011,781,Gitsubmodule
2012,2411,Gitsubmodule
2013,8700,Gitsubmodule
2014,3180,Gitsubmodule
2015,2050,Gitsubmodule
2016,2375,Gitsubmodule
2017,2707,Gitsubmodule
2018,3272,Gitsubmodule
2019,3630,Gitsubmodule
2020,3770,Gitsubmodule
2021,3184,Gitsubmodule
2022,1876,Gitsubmodule
2015,12,Meson
2016,23,Meson
2017,143,Meson
2018,431,Meson
2019,461,Meson
2020,636,Meson
2021,844,Meson
2022,865,Meson
2008,11,pc
2010,4,pc
2012,3,pc
2014,2,pc
2015,5,pc
2016,5,pc
2017,8,pc
2018,7,pc
2019,12,pc
2020,9,pc
2021,12,pc
2021,1371,Vcpkg
2022,1127,Vcpkg
2017,3,Xmake
2018,9,Xmake
2019,9,Xmake
2020,24,Xmake
2021,142,Xmake
2022,145,Xmake
